Date,Time,Topic,Message,Client ID
2025-01-10,09:22:04,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:22:22,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:27:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:27:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:32:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:32:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:37:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:37:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:42:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:42:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:47:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:47:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:52:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:52:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,09:57:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,09:57:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,10:01:59,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:01:59,home,WZ_MDR_94B97E15DCEB-S101,PythonMQTTClient
2025-01-10,10:01:59,home,WZ_4CR_8CAAB5CF47F1-R101,PythonMQTTClient
2025-01-10,10:02:00,home,WZ_4CR_8CAAB5CF47F1-R201,PythonMQTTClient
2025-01-10,10:02:01,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,10:02:04,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:08,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:11,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:15,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:19,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,10:02:23,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:24,home,WZ_MDR_94B97E15DCEB-S101,PythonMQTTClient
2025-01-10,10:02:24,home,WZ_4CR_8CAAB5CF47F1-R101,PythonMQTTClient
2025-01-10,10:02:24,home,WZ_4CR_8CAAB5CF47F1-R201,PythonMQTTClient
2025-01-10,10:02:28,home,WZ_MDR_94B97E15DCEB-D300,PythonMQTTClient
2025-01-10,10:02:33,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:38,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:42,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:45,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:54,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:02:58,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:03,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:06,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:10,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:13,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:18,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:21,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:24,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:27,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:30,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:36,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:39,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:44,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:53,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:03:57,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:01,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:05,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:08,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:12,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:17,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:20,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:27,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:33,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:38,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:42,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:46,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:49,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:04:55,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:00,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:05,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:10,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:13,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:23,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:27,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:30,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:33,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:05:39,home,WZ_MDR_94B97E15DCEB-D90,PythonMQTTClient
2025-01-10,10:07:02,home,WZ_MDR_94B97E15DCEB-S100,PythonMQTTClient
2025-01-10,10:07:02,home,WZ_4CR_8CAAB5CF47F1-R100,PythonMQTTClient
2025-01-10,10:07:02,home,WZ_4CR_8CAAB5CF47F1-R200,PythonMQTTClient
2025-01-10,10:07:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,10:07:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,10:12:03,home,WZ_4CR_8CAAB5CF47F1-K200,PythonMQTTClient
2025-01-10,10:12:21,home,WZ_MDR_94B97E15DCEB-K200,PythonMQTTClient
2025-01-10,10:13:27,home,WZ_MDR_94B97E15DCEB-S301,PythonMQTTClient
2025-01-10,10:13:28,home,WZ_MDR_94B97E15DCEB-S101,PythonMQTTClient
2025-01-10,10:13:28,home,WZ_4CR_8CAAB5CF47F1-R101,PythonMQTTClient
2025-01-10,10:13:28,home,WZ_4CR_8CAAB5CF47F1-R201,PythonMQTTClient
2025-01-10,10:13:37,home,WZ_MDR_94B97E15DCEB-D120,PythonMQTTClient
2025-01-10,10:15:26,home,WZ_MDR_94B97E15DCEB-S100,PythonMQTTClient
2025-01-10,10:15:26,home,WZ_4CR_8CAAB5CF47F1-R100,PythonMQTTClient
2025-01-10,10:15:26,home,WZ_4CR_8CAAB5CF47F1-R200,PythonMQTTClient
